order_id,vendor_id,product_id,order_date,promised_delivery_date,actual_delivery_date,order_quantity,defective_quantity,order_value,transport_mode,delivery_city,delivery_state
1638071,187821,40433,2024-05-03,2024-05-08,2024-05-09,500,10,114085,Road,Coimbatore,Tamil Nadu
6785224,363028,40433,2024-08-23,2024-08-31,2024-09-01,500,0,38515,Air,Bhubaneswar,Odisha
3064556,736402,24395,2024-03-01,2024-03-06,2024-03-06,500,10,36975,Road,Jaipur,Rajasthan
8457935,328815,24395,2025-06-10,2025-06-15,2025-06-17,5000,50,297100,Air,Nagpur,Maharashtra
4677358,547239,77830,2024-05-15,2024-05-23,2024-05-28,5000,50,1165250,Rail,Delhi,Delhi
8921099,187821,67273,2025-02-20,2025-02-25,2025-02-25,500,25,114085,Rail,Coimbatore,Tamil Nadu
4203900,512461,95673,2025-03-09,2025-03-16,2025-03-19,500,0,107895,Road,Pune,Maharashtra
5551993,187821,89752,2025-02-16,2025-02-22,2025-02-22,1000,10,228170,Road,Coimbatore,Tamil Nadu
7358047,522606,67273,2025-04-04,2025-04-09,2025-04-12,1000,20,128060,Rail,Jaipur,Rajasthan
9452958,912391,95673,2024-09-12,2024-09-16,2024-09-19,10000,0,1686900,Road,Kolkata,West Bengal
3376731,547239,89752,2024-01-16,2024-01-20,2024-01-21,1000,50,233050,Rail,Delhi,Delhi
1865015,381632,88434,2025-05-07,2025-05-12,2025-05-15,500,5,96315,Rail,Mumbai,Maharashtra
8463859,313802,16209,2024-01-03,2024-01-10,2024-01-12,5000,100,356850,Rail,Delhi,Delhi
7947004,547239,89752,2025-05-13,2025-05-18,2025-05-19,2000,20,466100,Road,Delhi,Delhi
7747587,674253,89752,2024-03-03,2024-03-09,2024-03-09,500,25,70910,Air,Surat,Gujarat
8562665,165878,82158,2025-06-27,2025-07-02,2025-07-02,10000,0,227100,Road,Bhubaneswar,Odisha
5309270,720230,77830,2024-03-11,2024-03-19,2024-03-19,1000,50,40400,Road,Jaipur,Rajasthan
4045382,720230,95673,2024-09-09,2024-09-17,2024-09-22,500,0,20200,Rail,Jaipur,Rajasthan
1600385,853594,82158,2025-06-19,2025-06-25,2025-06-27,1000,20,182990,Road,Indore,Madhya Pradesh
8160712,176588,88434,2024-09-28,2024-10-05,2024-10-06,2000,100,230680,Rail,Coimbatore,Tamil Nadu
9747731,187821,89752,2024-03-15,2024-03-19,2024-03-22,10000,0,2281700,Road,Coimbatore,Tamil Nadu
9219493,140937,78069,2024-08-06,2024-08-14,2024-08-16,1000,20,145310,Road,Indore,Madhya Pradesh
5895271,512461,77830,2024-09-07,2024-09-13,2024-09-15,1000,50,215790,Air,Pune,Maharashtra
8377370,720230,82158,2024-11-05,2024-11-13,2024-11-20,10000,0,404000,Air,Jaipur,Rajasthan
5887284,853594,21317,2024-11-02,2024-11-06,2024-11-07,2000,0,365980,Road,Indore,Madhya Pradesh
6858280,736402,16209,2024-06-08,2024-06-14,2024-06-16,10000,100,739500,Air,Jaipur,Rajasthan
8842896,547239,89752,2024-12-17,2024-12-22,2024-12-29,2000,100,466100,Rail,Delhi,Delhi
8409553,512461,95673,2024-02-22,2024-02-26,2024-03-04,5000,100,1078950,Road,Pune,Maharashtra
4886691,176588,21317,2024-01-04,2024-01-10,2024-01-11,2000,20,230680,Air,Coimbatore,Tamil Nadu
8384576,301108,95673,2025-03-28,2025-04-05,2025-04-12,5000,0,1055550,Road,Kolkata,West Bengal
6207435,492904,95673,2024-03-18,2024-03-23,2024-03-28,500,10,75540,Air,Kolkata,West Bengal
7958638,381632,88434,2024-05-31,2024-06-07,2024-06-08,500,10,96315,Rail,Mumbai,Maharashtra
4261737,781209,24395,2024-02-10,2024-02-16,2024-02-17,1000,0,52310,Rail,Ahmedabad,Gujarat
4446426,853594,78069,2025-02-20,2025-02-28,2025-03-07,1000,10,182990,Road,Indore,Madhya Pradesh
7927815,363028,88434,2024-06-30,2024-07-07,2024-07-07,1000,20,77030,Rail,Bhubaneswar,Odisha
7306394,176588,21317,2024-09-11,2024-09-17,2024-09-18,500,25,57670,Road,Coimbatore,Tamil Nadu
4025192,547239,88434,2025-04-26,2025-05-01,2025-05-02,5000,100,1165250,Rail,Delhi,Delhi
9432211,924197,77830,2024-08-21,2024-08-26,2024-08-26,1000,50,179740,Rail,Indore,Madhya Pradesh
2955995,690831,82158,2024-10-12,2024-10-16,2024-10-18,2000,100,107800,Air,Hyderabad,Telangana
7532127,307937,24395,2024-12-05,2024-12-09,2024-12-09,2000,20,433180,Air,Jaipur,Rajasthan
